id,category,name,description,starter_blocks,growth_blocks
162,Events,Wedding Officiant,Perform wedding ceremonies,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Ceremony Scripts,Review Manager,CRM & Pipeline"
163,Events,Wedding Planner,Full wedding coordination,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Vendor Directory,CRM & Pipeline,Timeline Builder"
164,Events,Corporate Event Planner,Business events and conferences,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Vendor Directory,CRM & Pipeline,Proposal Templates"
165,Events,Magician for Hire,Magic shows and entertainment,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Video Portfolio,Review Manager,Package Builder"
166,Events,Face Painting,Childrens party entertainment,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Design Gallery,Review Manager,Local Ads Starter"
167,Events,Photo Booth Rental,Event photo booth service,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Package Builder,Review Manager,Gallery System"
168,Events,Karaoke Rental,Karaoke equipment rental,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Equipment List,Review Manager,Delivery Tracker"
169,Events,Escape Room Business,Puzzle room entertainment,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Group Packages,Review Manager,Gift Cards"
170,Events,Christmas Light Install,Holiday lighting service,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Design Gallery,Quote Calculator,Local Ads Starter"
171,Fashion,Personal Stylist,Fashion consultation service,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Portfolio Site,Review Manager,Style Quiz"
172,Fashion,Closet Organization,Organize and declutter closets,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Before/After Gallery,Review Manager,Package Builder"
173,Fashion,Custom Clothing Design,Made-to-order garments,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Measurement Guide,Review Manager,Custom Order Form"
174,Fashion,T-Shirt Printing,Custom apparel printing,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Design Upload,Bulk Pricing,Review Manager"
175,Fashion,Lash Extensions,Eyelash extension services,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Before/After Gallery,Review Manager,Recurring Billing"
176,Fashion,Spray Tan Service,Mobile spray tanning,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Before/After Gallery,Review Manager,Local Ads Starter"
177,Fashion,Mobile Nail Tech,Nails at client locations,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Service Menu,Review Manager,Local SEO Starter"
178,Fashion,Hair Extensions,Hair extension installation,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Before/After Gallery,Review Manager,Color Matcher"
179,Fashion,Microblading,Eyebrow microblading service,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Before/After Gallery,Review Manager,Medical Compliance"
180,Fashion,Henna Artist,Temporary henna tattoos,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Design Gallery,Review Manager,Event Packages"
181,Food,Coffee Shop,Café and coffee house,"Name & Logo,Legal Setup,Store Setup,Payments Setup","Email Welcome Series,Loyalty Program,Review Manager,Menu Builder"
182,Food,Bakery,Custom cakes and pastries,"Name & Logo,Legal Setup,Store Setup,Payments Setup","Email Welcome Series,Custom Order Form,Review Manager,Menu Builder"
183,Food,Food Truck,Mobile food service,"Name & Logo,Legal Setup,Store Setup,Payments Setup","Event Calendar,Review Manager,Menu Builder,Location Tracker"
184,Food,Catering Service,Event catering business,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Menu Builder,CRM & Pipeline,Event Planner"
185,Food,Personal Chef,In-home cooking service,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Menu Planning,CRM & Pipeline,Recipe Library"
186,Food,Meal Prep Business,Healthy meals delivered,"Name & Logo,Legal Setup,Store Setup,Payments Setup","Email Welcome Series,Subscription Manager,Menu Builder,Nutrition Calculator"
187,Food,Specialty Sauce Brand,Bottled sauces and condiments,"Name & Logo,Legal Setup,Store Setup,Payments Setup","Product Photography,Email Series,Wholesale Portal,Recipe Ideas"
188,Food,Ice Cream Shop,Ice cream parlor,"Name & Logo,Legal Setup,Store Setup,Payments Setup","Email Welcome Series,Loyalty Program,Review Manager,Seasonal Menu"
189,Food,Juice Bar,Fresh juice and smoothies,"Name & Logo,Legal Setup,Store Setup,Payments Setup","Email Welcome Series,Loyalty Program,Review Manager,Menu Builder"
190,Food,Brewery,Craft beer production,"Name & Logo,Legal Setup,Store Setup,Payments Setup","Email Welcome Series,Tasting Events,Review Manager,Distribution Portal"
191,Professional,Bookkeeping Service,Small business accounting,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Client Portal,CRM & Pipeline,Document Upload"
192,Professional,Tax Preparation,Individual tax filing,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Document Checklist,CRM & Pipeline,Secure Upload"
193,Professional,Notary Public,Mobile notary service,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Service Area Map,Review Manager,Appointment Reminder"
194,Professional,Translation Service,Document and content translation,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Language Options,CRM & Pipeline,Turnaround Calculator"
195,Professional,Legal Document Prep,Prepare legal forms,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Form Library,CRM & Pipeline,Compliance Disclaimer"
196,Professional,Business Plan Writing,Custom business plans,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Sample Plans,CRM & Pipeline,Financial Templates"
197,Professional,Grant Writing Service,Write grant proposals,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Success Rate,CRM & Pipeline,Sample Proposals"
198,Professional,Patent Research,Patent search and analysis,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Research Reports,CRM & Pipeline,Compliance Guide"
199,Professional,Private Investigator,Investigation services,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Service Menu,CRM & Pipeline,Confidentiality Agreement"
200,Professional,Process Server,Legal document delivery,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Service Area,CRM & Pipeline,Proof of Service"
201,Construction,General Contractor,Full construction services,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,CRM & Pipeline,Quote Calculator,Project Gallery"
202,Construction,Electrician,Electrical installation and repair,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,CRM & Pipeline,Emergency Hotline,Local SEO Starter"
203,Construction,Plumber,Plumbing services,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,CRM & Pipeline,Emergency Hotline,Local SEO Starter"
204,Construction,HVAC Technician,Heating and cooling service,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,CRM & Pipeline,Recurring Billing,Local Ads Starter"
205,Construction,Roofing Contractor,Roof installation and repair,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,CRM & Pipeline,Quote Calculator,Storm Response"
206,Construction,Siding Installation,Exterior siding service,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Before/After Gallery,Quote Calculator,Local Ads Starter"
207,Construction,Gutter Installation,Gutter systems and guards,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Quote Calculator,Local SEO Starter,Seasonal Campaigns"
208,Construction,Deck Building,Custom deck construction,"Name & Logo,Legal Setup,Booking System,Payments Setup","Portfolio Site,Review Manager,Quote Calculator,Material Calculator"
209,Construction,Fence Installation,Residential and commercial fencing,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Quote Calculator,Before/After Gallery,Local SEO Starter"
210,Construction,Concrete Work,Driveways patios foundations,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Quote Calculator,Before/After Gallery,Local Ads Starter"
211,Fitness,Personal Trainer,One-on-one fitness training,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Workout Library,CRM & Pipeline,Progress Tracker"
212,Fitness,Group Fitness Classes,Studio or outdoor classes,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Class Scheduler,Member Portal,Payment Plans"
213,Fitness,Online Fitness Coaching,Remote workout programs,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Video Library,CRM & Pipeline,App Integration"
214,Fitness,Nutrition Consulting,Meal plans and diet advice,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Meal Planner,CRM & Pipeline,Macro Calculator"
215,Fitness,Gym Membership Site,Fitness facility,"Name & Logo,Legal Setup,Booking System,Payments Setup","Member Portal,Class Scheduler,Recurring Billing,Access Control"
216,Fitness,Pilates Studio,Pilates instruction,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Class Scheduler,Member Portal,Package Builder"
217,Fitness,Boxing Gym,Boxing and kickboxing training,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Class Scheduler,Member Portal,Waiver System"
218,Fitness,Crossfit Box,Crossfit training facility,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,WOD Tracker,Member Portal,Competition Calendar"
219,Fitness,Rock Climbing Gym,Indoor climbing facility,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Waiver System,Member Portal,Course Scheduler"
220,Fitness,Martial Arts Dojo,Martial arts instruction,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Belt Tracker,Member Portal,Testing Calendar"
221,Home Services,Interior Design,Home design consultation,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,CRM & Pipeline,Mood Board Tool"
222,Home Services,Organizing Service,Professional home organization,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Before/After Gallery,Review Manager,Package Builder"
223,Home Services,Moving Packing Service,Full-service moving help,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Quote Calculator,CRM & Pipeline,Inventory Checklist"
224,Home Services,Senior Downsizing,Help seniors move and declutter,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Compassion Guide,Review Manager,Resource Directory"
225,Home Services,Estate Sale Service,Organize and run estate sales,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Pricing Guide,CRM & Pipeline,Inventory System"
226,Home Services,Home Watch Service,Monitor vacant homes,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Inspection Reports,CRM & Pipeline,Photo Documentation"
227,Home Services,Christmas Decorating,Holiday decoration installation,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Design Gallery,Review Manager,Storage Options"
228,Home Services,Smart Home Installation,Install smart home devices,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Product Catalog,Review Manager,Tutorial Videos"
229,Home Services,Security System Install,Home alarm systems,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,System Comparison,Review Manager,Monitoring Plans"
230,Home Services,Generator Installation,Backup power systems,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Quote Calculator,Review Manager,Maintenance Plans"
231,Photography,Newborn Photography,Baby photos and portraits,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,Review Manager,Gallery Delivery"
232,Photography,Family Photography,Family portraits and sessions,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,Review Manager,Package Builder"
233,Photography,Headshot Photography,Professional headshots,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,Review Manager,Quick Turnaround"
234,Photography,Event Photography,Capture special events,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,Review Manager,Gallery Delivery"
235,Photography,Product Photography,E-commerce product photos,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,CRM & Pipeline,Turnaround Calculator"
236,Photography,Drone Photography,Aerial photos and videos,"Name & Logo,Legal Setup,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,Review Manager,FAA Compliance"
237,Photography,Sports Photography,Capture athletic events,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,Package Builder,Action Gallery"
238,Photography,Boudoir Photography,Intimate portrait sessions,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,Privacy Policy,Review Manager"
239,Photography,School Photography,Student portraits and yearbooks,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Order System,CRM & Pipeline,Retouching Service"
240,Photography,Real Estate Drone,Aerial property photography,"Name & Logo,Legal Setup,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,Review Manager,Turnaround Guarantee"
241,Training,Corporate Training,Business skills workshops,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Course Platform,CRM & Pipeline,Certificate Generator"
242,Training,Language School,Teach foreign languages,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Student Portal,CRM & Pipeline,Placement Test"
243,Training,Music Lessons,Instrument instruction,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Practice Tracker,CRM & Pipeline,Recital Calendar"
244,Training,Dance Studio,Dance classes and instruction,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Class Scheduler,Member Portal,Recital Planning"
245,Training,Drivers Ed School,Driving instruction and testing,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Student Portal,CRM & Pipeline,Road Test Scheduler"
246,Training,CPR Certification,First aid and CPR training,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Course Platform,Certificate Generator,Group Discounts"
247,Training,Real Estate School,Real estate licensing prep,"Name & Logo,Website Starter,Course Platform,Payments Setup","Email Welcome Series,Practice Exams,Student Portal,Study Materials"
248,Training,Cosmetology School,Beauty training and certification,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Student Portal,Financial Aid Info,Placement Services"
249,Training,Truck Driving School,CDL training programs,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Student Portal,Job Placement,Financing Options"
250,Training,Bartending School,Bartender training certification,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Recipe Library,Certificate Generator,Job Board"
251,Career,Resume Writing,Professional resume services,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Template Library,CRM & Pipeline,Cover Letter Service"
252,Career,Career Counseling,Job search guidance,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Assessment Tools,CRM & Pipeline,Interview Prep"
253,Career,LinkedIn Optimization,Profile enhancement service,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Before/After Examples,CRM & Pipeline,Headline Generator"
254,Career,Interview Coaching,Mock interviews and prep,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Question Bank,CRM & Pipeline,Recording Review"
255,Finance,Credit Repair Service,Improve credit scores,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Dispute Letters,CRM & Pipeline,Progress Tracker"
256,Finance,Debt Consolidation,Financial debt assistance,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Debt Calculator,CRM & Pipeline,Creditor Network"
257,Finance,Insurance Agency,Insurance brokerage,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Quote System,CRM & Pipeline,Policy Comparison"
258,Travel,Travel Agency,Plan trips and vacations,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Destination Guide,CRM & Pipeline,Itinerary Builder"
259,Gifts,Wedding Registry,Gift registry service,"Name & Logo,Website Starter,Store Setup,Payments Setup","Email Welcome Series,Registry Manager,Gift Tracker,Thank You Cards"
260,Research,Genealogy Research,Family history research,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Research Reports,CRM & Pipeline,Family Tree Builder"
261,Community,Private Members Club,Exclusive membership community,"Name & Logo,Website Starter,Booking System,Payments Setup","Member Portal,Event Calendar,Recurring Billing,Discussion Forum"
262,Workspace,Coworking Space,Shared office space,"Name & Logo,Website Starter,Booking System,Payments Setup","Member Portal,Room Booking,Recurring Billing,Access Control"
263,Community,Mastermind Group,Peer mentorship community,"Name & Logo,Website Starter,Booking System,Payments Setup","Member Portal,Meeting Scheduler,Discussion Forum,Resource Library"
264,Community,Online Learning Community,Education membership site,"Name & Logo,Website Starter,Course Platform,Payments Setup","Member Portal,Discussion Forum,Progress Tracker,Certificate System"
265,Subscription,Subscription Box Service,Curated monthly boxes,"Name & Logo,Store Setup,Payments Setup,Recurring Billing","Email Welcome Series,Box Builder,Shipping Tracker,Member Portal"
266,Rental,Party Rental,Tables chairs tents for events,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Inventory System,CRM & Pipeline,Delivery Scheduler"
267,Rental,Tool Rental,Construction tool rental,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Inventory System,Damage Waiver,Maintenance Tracker"
268,Rental,Camera Equipment Rental,Photo and video gear,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Equipment List,Insurance Options,Tutorial Videos"
269,Rental,RV Rental,Recreational vehicle rentals,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Fleet Tracker,Insurance Manager,Travel Guide"
270,Rental,Boat Rental,Watercraft rental service,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Fleet Tracker,Waiver System,Safety Training"
271,Rental,Bike Rental,Bicycle rental service,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Fleet Tracker,Route Maps,Group Discounts"
272,Rental,Bounce House Rental,Inflatable party rentals,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Product Catalog,Waiver System,Delivery Scheduler"
273,Rental,Storage Unit Business,Self-storage facilities,"Name & Logo,Legal Setup,Booking System,Payments Setup","Tenant Portal,Recurring Billing,Access Control,Insurance Options"
274,Rental,Equipment Rental,Heavy equipment rental,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Equipment List,Insurance Manager,Operator Training"
275,Rental,Costume Rental,Costume and formal wear rental,"Name & Logo,Store Setup,Booking System,Payments Setup","Email Welcome Series,Catalog System,Size Guide,Cleaning Service"
276,Creative,Voiceover Artist,Professional voice recording,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,Sample Library,Turnaround Options"
277,Creative,Audiobook Narrator,Narrate books professionally,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,Sample Chapters,Genre Specialties"
278,Creative,Jingle Writer,Create commercial jingles,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,Sample Library,Revision Policy"
279,Creative,Logo Designer,Custom logo design,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,Package Options,Brand Guide"
280,Creative,Book Cover Designer,Design book covers,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,Genre Examples,Print Specs"
281,Creative,Illustrator,Custom illustrations,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,Style Guide,Licensing Options"
282,Creative,Animator,Motion graphics and animation,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,Reel Showcase,Project Scoping"
283,Creative,UX UI Designer,User experience design,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,Case Studies,Design System"
284,Creative,Presentation Designer,Professional slide decks,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,Template Library,Rush Service"
285,Creative,Calligraphy Service,Hand lettering for events,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,Style Options,Bulk Pricing"
286,Repair,Phone Repair,Smartphone screen and battery,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Menu,Review Manager,Warranty Terms"
287,Repair,Computer Repair,Desktop and laptop repair,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Menu,Review Manager,Data Recovery"
288,Repair,Watch Repair,Watch battery and band service,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Menu,Review Manager,Authentication"
289,Repair,Jewelry Repair,Fix and restore jewelry,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Menu,Review Manager,Appraisal Service"
290,Repair,Shoe Repair,Shoe repair and restoration,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Menu,Review Manager,Before/After Gallery"
291,Repair,Furniture Repair,Restore and refinish furniture,"Name & Logo,Legal Setup,Booking System,Payments Setup","Portfolio Site,Service Menu,Review Manager,Before/After Gallery"
292,Repair,Instrument Repair,Repair guitars violins etc,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Menu,Review Manager,Rush Service"
293,Repair,Small Engine Repair,Lawn mower equipment repair,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Menu,Review Manager,Pickup Service"
294,Repair,Vacuum Repair,Fix vacuum cleaners,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Menu,Review Manager,Parts Inventory"
295,Repair,Sewing Machine Repair,Service and repair sewing machines,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Menu,Review Manager,Maintenance Plans"
296,Wellness,Massage Therapy,Therapeutic massage service,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Menu,Review Manager,Package Builder"
297,Wellness,Acupuncture Practice,Traditional acupuncture,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Treatment Plans,Review Manager,Insurance Billing"
298,Wellness,Physical Therapy,Rehabilitation and therapy,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Exercise Library,Review Manager,Insurance Billing"
299,Wellness,Occupational Therapy,ADL training and support,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Assessment Tools,Review Manager,Insurance Billing"
300,Wellness,Speech Therapy,Communication therapy,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Resource Library,Review Manager,Telehealth Setup"
301,Wellness,Chiropractic Practice,Spinal adjustment therapy,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Treatment Plans,Review Manager,Insurance Billing"
302,Wellness,Hypnotherapy,Clinical hypnosis sessions,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Issue Specialties,Review Manager,Success Stories"
303,Wellness,Aromatherapy,Essential oil therapy,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Oil Guide,Review Manager,Product Sales"
304,Wellness,Reflexology,Foot pressure point therapy,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Service Menu,Review Manager,Package Builder"
305,Wellness,Float Therapy,Sensory deprivation tanks,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Benefits Guide,Review Manager,Membership Plans"
306,Beauty,Hair Salon,Full-service hair styling,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Menu,Review Manager,Stylist Profiles"
307,Beauty,Barbershop,Mens haircuts and grooming,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Menu,Review Manager,Membership Plans"
308,Beauty,Nail Salon,Manicure and pedicure services,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Menu,Review Manager,Photo Gallery"
309,Beauty,Spa Services,Full-service day spa,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Menu,Review Manager,Package Builder"
310,Beauty,Tanning Salon,UV and spray tanning,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Menu,Review Manager,Membership Plans"
311,Beauty,Tattoo Shop,Custom tattoo art,"Name & Logo,Legal Setup,Booking System,Payments Setup","Portfolio Site,Artist Profiles,Review Manager,Aftercare Guide"
312,Beauty,Piercing Studio,Body piercing services,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Menu,Review Manager,Aftercare Guide"
313,Beauty,Makeup Artist,Professional makeup services,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Service Menu,Review Manager,Bridal Packages"
314,Beauty,Waxing Studio,Hair removal services,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Menu,Review Manager,First-Timer Guide"
315,Beauty,Eyebrow Threading,Threading hair removal,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Menu,Review Manager,Walk-in Policy"
316,Agriculture,CSA Farm Share,Community supported agriculture,"Name & Logo,Website Starter,Store Setup,Payments Setup","Email Welcome Series,Share Options,Pickup Locations,Seasonal Calendar"
317,Agriculture,Farmers Market Vendor,Sell produce at markets,"Name & Logo,Store Setup,Payments Setup,Inventory System","Email Welcome Series,Market Schedule,Product Catalog,Seasonal Updates"
318,Agriculture,Microgreens Business,Grow and sell microgreens,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Wholesale Portal,Growing Guide,Recipe Ideas"
319,Agriculture,Mushroom Cultivation,Grow gourmet mushrooms,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Wholesale Portal,Cooking Guide,Subscription Box"
320,Agriculture,Honey Production,Beekeeping and honey sales,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Product Story,Recipe Ideas,Local Pickup"
321,Agriculture,Herb Farm,Grow and sell fresh herbs,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Wholesale Portal,Growing Tips,Recipe Library"
322,Agriculture,Cut Flower Farm,Sell fresh cut flowers,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Subscription Service,Event Florals,Care Guide"
323,Agriculture,U-Pick Farm,Customer harvest experience,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Seasonal Calendar,Family Activities,Group Bookings"
324,Agriculture,Chicken Eggs,Free-range egg sales,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Subscription Service,Farm Story,Delivery Routes"
325,Agriculture,Goat Dairy,Artisan cheese and milk,"Name & Logo,Legal Setup,Store Setup,Payments Setup","Email Welcome Series,Product Catalog,Farm Tours,Wholesale Portal"
326,Import,Import Business,Source products internationally,"Name & Logo,Legal Setup,Store Setup,Payments Setup","Email Welcome Series,Supplier Directory,Customs Guide,Inventory System"
327,Import,Amazon FBA Business,Sell via Amazon fulfillment,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Listing Optimization,Inventory Tracker,Review Manager"
328,Wholesale,Wholesale Distribution,B2B product distribution,"Name & Logo,Legal Setup,Store Setup,Payments Setup","Email Welcome Series,Wholesale Portal,Order System,Territory Map"
329,Dropship,Dropship Supplier,Supply products to dropshippers,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Retailer Portal,API Integration,Product Feed"
330,Events,Trade Show Vendor,Sell at conventions and expos,"Name & Logo,Store Setup,Payments Setup,Inventory System","Email Welcome Series,Show Calendar,Booth Design,Lead Capture"
331,Manufacturing,3D Printing Service,Custom 3D printed products,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Upload System,Material Options,Quote Calculator"
